Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
61,445.3858643,928.3348999,4.294613763,453.7992554,984.7209473,5.306797862,555.6014404,1025.152466,2.568581068,548.6686401,1039.879395,1.801195027,437.1108704,958.9434204,7.761580152
62,444.5297852,934.6188965,6.342041034,454.2549744,988.9293213,4.232976698,560.2224121,1023.627808,4.866000606,550.7558594,1038.136963,2.718924819,436.5683289,963.5648193,4.653136503
63,441.5884705,940.2386475,6.342943574,454.2168884,994.6048584,5.675664897,562.15448,1022.488281,2.243079713,554.3060913,1035.183228,4.618300478,437.2537231,968.7909546,5.270887498
64,439.6064758,944.8892822,5.055364125,455.7839966,1001.156982,6.736924906,565.1036987,1018.664856,4.828713308,556.1808472,1033.654175,2.419237855,437.004425,975.7218018,6.935329264
65,437.3688354,951.3870239,6.872239931,456.6194458,1006.409851,5.318891283,567.4629517,1016.634155,3.112847515,562.7454224,1031.162109,7.021683388,436.0888062,978.9986572,3.402372661
66,435.6727905,955.145874,4.123775265,457.5614319,1011.741882,5.414600173,568.6863403,1014.024353,2.882316361,565.5394897,1029.536255,3.232679287,438.8499756,985.9368896,7.467471177
67,434.7070923,958.522522,3.512025693,463.7204285,1019.974609,10.28158711,569.8540039,1011.970886,2.362237098,567.8726807,1028.376709,2.605441719,441.4833069,992.8577271,7.404891902
68,434.2780457,964.4799805,5.972888141,468.1782837,1023.486572,5.675064453,571.8032837,1009.933105,2.819972006,569.5020752,1027.371338,1.914601153,443.2438049,999.1552124,6.538935321
69,434.5009155,970.4957886,6.019935061,470.7184448,1026.667358,4.070604255,575.4209595,1007.749695,4.225501166,572.0880127,1025.527832,3.175781259,445.5739136,1005.104736,6.389541551
70,435.3352051,975.3673096,4.942444321,478.0234985,1033.235474,9.82364227,577.2463989,1006.747437,2.08248671,575.8527222,1020.427002,6.339677034,446.2902527,1010.154541,5.100359703
71,436.4568481,982.7265015,7.444178162,482.67453,1038.60791,7.105995226,578.267334,1005.498169,1.613374685,577.6762085,1019.010376,2.309097561,447.5860596,1015.395569,5.398841377
72,438.0482483,988.1195679,5.622963604,495.303894,1041.545044,12.96640236,581.4473877,1001.460571,5.139546326,581.1761475,1017.219543,3.931495119,451.2651672,1019.078003,5.205396621
73,439.2728882,992.9932251,5.025164438,501.2948914,1044.49646,6.678540658,581.6366577,998.9035645,2.564002164,586.7371826,1014.409241,6.230803597,452.5132446,1025.265137,6.311760587
